MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
2.8139,15,5.571932299,1.002820874,4769,3.363187588,38.51,-121.42
3.3214,47,4.912878788,1.106060606,704,2.666666667,33.96,-118.32
2.0284,34,4.942857143,1.065714286,730,2.085714286,32.77,-117.06
4.5208,33,5.502808989,0.960674157,984,2.764044944,37.66,-120.98
3.102,11,6.468421053,1.242105263,581,3.057894737,33.69,-117.35
3.475,24,6.025956284,1.06010929,2038,2.784153005,38.16,-121.22
3.2024,30,4.88225256,1.046075085,2065,3.523890785,34.4,-118.91
6.2683,16,5.882882883,0.882882883,713,3.211711712,32.99,-117.06
4.6364,11,3.945701357,0.918552036,422,1.909502262,33.82,-118.19
1.74,28,6.158892128,1.217201166,1908,2.781341108,41.86,-121.93
6.8753,26,6.987288136,0.974576271,1241,2.629237288,37.36,-122.04
4.0156,48,3.636803874,1.083131558,1980,1.598062954,37.79,-122.42
3.4688,44,5.570833333,1.020833333,968,4.033333333,33.94,-118.18
0.78,10,3.835766423,1.083941606,927,3.383211679,36.33,-119.28
4.0677,36,5.525925926,1.044444444,1041,3.855555556,33.98,-118.08
3.7344,46,4.817767654,1.054669704,1133,2.580865604,34.19,-118.33
3.6304,22,4.850409836,1.008196721,1333,2.731557377,34.42,-119.88
1.2625,40,4.612440191,1.100478469,742,3.550239234,37.95,-121.32
4.0938,5,6.28125,1.065848214,9509,3.537574405,33.92,-117.22
3.7614,37,3.941176471,1.052941176,1008,2.964705882,34,-118.43
5.0795,36,5.33463035,0.972762646,666,2.591439689,33.81,-118.09
1.875,38,4.65625,0.95,721,4.50625,33.91,-118.24
3.5167,46,5.850340136,0.884353741,496,3.37414966,37.4,-120.69
5.9619,20,4.907444668,0.953722334,1219,2.452716298,33.88,-118.37
0.8952,9,4,1.140350877,438,3.842105263,33.94,-118.28
2.8906,35,5.403141361,1.083769634,954,4.994764398,34.08,-117.99
3.625,22,5.854545455,1.104545455,593,2.695454545,38.39,-122.82
1.8295,52,2.628169014,1.053521127,2957,4.164788732,37.8,-122.41
9.2463,39,8.12972973,1.043243243,1240,3.351351351,34.22,-118.21
5.2081,27,5.806779661,0.955932203,761,2.579661017,38.66,-121.31
4.0417,52,6.452830189,1.047169811,1301,2.454716981,38.56,-121.45
3.15,35,5.236842105,0.868421053,313,2.059210526,37.74,-121.42
1.6389,37,3.733333333,1,1086,3.290909091,32.66,-117.09
3.9323,5,6.017738359,1.101995565,2725,3.021064302,38.15,-121.32
3.0865,52,2.928571429,0.827380952,316,1.880952381,37.76,-122.41
4.2775,5,6.00733945,1.012844037,6780,3.110091743,33.95,-117.25
7.585,31,6.450084602,1.00676819,1645,2.783417936,34.24,-118.24
1.9962,28,5.156334232,1.309973046,858,2.312668464,35.35,-117.84
4.4821,15,6.908108108,1.172972973,653,3.52972973,32.76,-115.56
10.4415,7,8.825539568,1.037769784,1883,3.386690647,33.54,-117.71
1.9187,29,3.936936937,0.977477477,788,3.54954955,37.96,-121.24
2.1806,8,4.884848485,1.039393939,1230,3.727272727,35.78,-119.23
3.8117,14,5.018112488,1.014299333,3278,3.124880839,35.33,-119.06
2.3594,43,3.804560261,1.048859935,1203,1.959283388,32.76,-117.12
4.3419,22,5.688679245,1.096226415,2491,4.7,37.32,-121.84
13.1477,11,7.822064057,0.896797153,883,3.142348754,33.51,-117.71
9.042,52,7.962085308,1.127962085,493,2.336492891,34.15,-118.35
5.1391,9,6.309933775,1.080794702,2077,2.750993377,38.27,-122.65
2.3333,25,5.84516129,1.083870968,1257,2.703225806,36.8,-119.75
2.5885,52,4.842639594,1.086294416,1271,3.225888325,34.01,-118.3
3.5938,38,4.712765957,0.936170213,505,2.686170213,32.72,-117.03
3.48,52,4.757281553,1.067961165,689,2.229773463,37.83,-122.26
3.0431,41,4.60547504,1.098228663,1516,2.441223833,34.2,-118.34
3.7766,19,5.138211382,1.12601626,2332,4.739837398,36.88,-121.71
1.425,17,4.716049383,1.061728395,272,3.358024691,33.83,-117.92
3.4228,7,4.466539197,1.071701721,2534,2.422562141,34.05,-117.3
3.2156,10,5.390501319,1.096306069,2111,2.784960422,39.46,-123.4
4.3897,36,6.02295082,1.045901639,810,2.655737705,33.8,-118.11
3.2727,52,4.442982456,1.057017544,709,1.554824561,37.81,-122.24
5.678,28,5.859259259,0.977777778,696,2.577777778,37.35,-122.04
3.0476,45,4.366245695,1.113662457,1690,1.940298507,34.02,-118.46
3.9688,30,6.604316547,1.107913669,469,3.374100719,37.61,-120.8
4.4306,14,5.355191257,0.93442623,659,3.601092896,38.28,-121.33
10.1154,5,8.093425606,1.078431373,2427,2.799307958,33.65,-118.05
5.5762,17,10.35964912,2.377192982,248,2.175438596,34.17,-117.13
6.0488,26,5.826797386,0.973856209,1048,3.424836601,33.82,-117.88
6.58,25,7.704334365,0.998452012,2061,3.190402477,33.78,-117.82
2.1006,19,4.938718663,1.056406685,4101,2.855849582,35.31,-119.01
3.6406,39,3.932885906,0.975391499,892,1.995525727,34.11,-118.17
10.2311,31,8.240837696,1.010471204,551,2.884816754,37.25,-122.01
4.1731,37,5.5625,1.0375,485,2.020833333,34.19,-118.32
5.1524,36,4.984703633,1.053537285,1165,2.227533461,37.42,-122.12
5.7143,40,6.102409639,0.903614458,449,2.704819277,34.18,-118.42
2.5681,35,5.050650558,1.034386617,9879,4.590613383,38.27,-121.94
2.4821,43,4.778761062,1.115044248,1221,2.701327434,32.72,-117.13
2.875,38,5.426048565,1.077262693,1135,2.505518764,34.16,-117.29
2.7656,17,12.7421875,2.6171875,285,2.2265625,37.78,-119.08
5.7837,23,6.607940447,1.066997519,1499,3.719602978,33.79,-118.01
2.3269,28,4.422018349,1.064220183,782,3.587155963,37.94,-121.25
3.225,37,4.284518828,1.029288703,1371,5.736401674,34.27,-118.42
2.8194,45,4.411522634,1.131687243,996,4.098765432,34.09,-118.22
2.7019,33,4.031509121,1.086235489,1854,3.074626866,37.67,-122.09
4.9671,24,4.18872549,1.071078431,892,2.18627451,37.36,-122.02
2.8155,27,4.257352941,1.027573529,2012,3.698529412,33.99,-118.12
4.25,33,5.751968504,1.027559055,494,1.94488189,36.81,-119.79
4.5724,6,11.86548913,2.173913043,2006,2.725543478,34.83,-119.15
1.2286,28,3.080808081,0.987373737,1286,3.247474747,32.75,-117.09
1.4141,18,5.907692308,1.351282051,782,2.005128205,35.62,-118.45
7.3521,32,6.775757576,1.054545455,818,2.478787879,37.99,-122.54
1.7622,34,3.843478261,1.036714976,2725,2.632850242,34.02,-118.35
2.8,47,3.764204545,1.116477273,1557,4.423295455,34.04,-118.21
2.6071,26,5.606694561,1.066945607,662,2.769874477,39.44,-121.53
6.2917,14,7.31026253,1.016706444,1570,3.747016706,34.04,-117.21
3.9856,52,3.454741379,1.049568966,727,1.566810345,37.8,-122.44
5.2818,35,5.715909091,0.982954545,818,2.323863636,37.96,-122.52
3.2813,17,4.980148883,0.992555831,895,2.220843672,38.43,-122.67
4.3056,39,5.90797546,1.057259714,1351,2.762781186,38.2,-122.66
5.1998,5,6.971496437,1.160332542,1917,2.27672209,33.01,-117.07
4.2667,46,5.256055363,1.006920415,573,1.982698962,37.75,-122.44
4.8993,34,5.651282051,0.948717949,1398,2.38974359,37.99,-122.55
2.125,8,4.827586207,0.965517241,84,2.896551724,39.71,-121.78
3.2125,46,5.008746356,1.002915452,756,2.204081633,34.17,-118.34
2.7792,18,5.584558824,1.088235294,846,3.110294118,36.16,-120.35
3.8413,50,3.988538682,1.064469914,1622,2.323782235,37.58,-122.34
3.9934,20,5.502336449,1.091121495,1198,2.799065421,34.94,-116.96
3.1528,43,5.42377261,1.028423773,1276,3.297157623,33.92,-118.17
1.998,27,21.80565371,4.64664311,1300,2.296819788,34.24,-116.94
1.8235,40,4.701149425,1.126436782,928,3.555555556,37.75,-122.16
0.8543,27,2.29787234,1.175531915,1211,1.61037234,37.78,-122.42
3.9227,24,5.034345048,1.019968051,3728,2.977635783,33.84,-118.27
4.0313,36,6.330275229,0.963302752,299,2.743119266,37.75,-122.14
2.2328,34,3.226973684,1.029605263,508,1.671052632,32.75,-117.28
7.8924,37,6.554666667,1.066666667,920,2.453333333,33.9,-118.4
3.3594,22,5.623115578,1.105527638,565,2.83919598,37.92,-122.32
2.0786,33,4.562589928,1.197122302,1591,2.289208633,38.62,-121.42
5.3245,8,5.987373737,0.946969697,1094,2.762626263,38,-121.78
4.0403,23,4.792408066,1,2181,2.587188612,37.3,-121.96
5.1322,43,4.309859155,0.950704225,402,2.830985915,33.99,-118.39
6.3814,8,7.606271777,1.069686411,1000,3.484320557,32.79,-115.59
5.1463,35,6.257028112,1.072289157,793,3.184738956,34.2,-118.58
6.7669,35,5.168560606,1.018939394,969,1.835227273,37.86,-122.49
5.3743,28,5.625954198,1.080152672,1445,2.757633588,33.87,-118.34
2.5902,14,5.202608696,1.064347826,3255,2.830434783,34.09,-117.35
7.1366,23,5.685393258,1.078651685,264,2.966292135,37.15,-122.08
3.1691,42,3.530092593,1.055555556,1688,3.907407407,34.1,-118.24
2.1833,37,4.503386005,1.011286682,1559,3.519187359,37.47,-121.13
2.0385,25,5.021875,1.065625,2319,3.6234375,37.65,-120.76
3.7306,34,3.864297254,1.054927302,933,1.50726979,32.83,-117.28
4.119,52,5.101674641,1.090909091,1555,1.860047847,37.76,-122.4
2.0714,31,3.975757576,1.139393939,1178,3.56969697,33.99,-118.47
4.4063,20,5.900560224,1.051820728,2071,2.900560224,38.03,-121.34
7.3644,16,7.02513465,1.014362657,1752,3.145421903,37.54,-122.27
4.8693,23,6.448863636,1.095454545,2197,2.496590909,36.99,-121.91
3.5208,19,4.743781095,0.982587065,2219,2.759950249,37.69,-121.02
4.9583,33,6.551532033,1.038997214,995,2.771587744,34.13,-118.03
2.4196,26,8.518248175,2.700729927,253,1.846715328,37.68,-122.08
2.2148,38,3.516096579,1.106639839,1939,1.950704225,34.11,-118.33
3.6923,45,5.084084084,1.012012012,1255,3.768768769,33.81,-118.21
2.5694,27,3.143769968,0.955271565,777,2.482428115,34.43,-119.72
1.4833,23,4.799307958,1.124567474,640,2.214532872,39.53,-121.65
2.2527,18,4.528712871,1.057425743,1339,2.651485149,36.95,-120.05
3.0294,31,4.706161137,0.988151659,1042,2.469194313,36.52,-119.55
3.8125,19,4.755494505,1.153846154,1032,2.835164835,33.84,-118.25
3.3281,40,5.847908745,0.969581749,669,2.543726236,38.26,-122.13
2.7022,37,3.842622951,1.03442623,2195,3.598360656,34.02,-118.15
2.9934,52,3.44137931,1.020689655,318,2.193103448,37.57,-122.32
2.2258,25,3.581589958,1.027196653,1807,3.780334728,34.06,-117.78
4.2937,35,6.092178771,1.036312849,1249,3.488826816,33.86,-117.96
2.3056,29,4.903726708,1.090062112,1056,3.279503106,33.95,-118.27
2.2411,47,3.986175115,0.889400922,782,3.603686636,33.98,-118.28
2.3798,32,4.768067227,1.03697479,1393,2.341176471,33.96,-117.41
1.1835,30,3.350505051,1.068686869,1794,1.812121212,38.1,-122.26
1.6534,44,4.487804878,1.027874564,723,2.519163763,36.96,-120.06
3.0568,41,4.868243243,0.925675676,646,2.182432432,36.77,-119.82
2.1763,19,2.627358491,1.018867925,673,3.174528302,34.15,-118.12
3.4531,23,4.02133922,1.099337748,2511,1.847682119,34.14,-118.13
6.9742,38,6.496183206,1.017811705,1042,2.651399491,33.8,-118.36
3.0519,30,3.675414365,1.056629834,2324,3.209944751,33.95,-118.35
1.6148,16,4.365661861,1.099606815,1955,2.56225426,36.32,-119.33
2.4727,19,3.772296015,1.127134725,1399,2.654648956,34.25,-118.29
4.25,44,4.592715232,0.927152318,984,3.258278146,33.8,-118.21
3.125,16,6.815789474,1.394736842,131,3.447368421,35.91,-120
10.4399,23,8.310671256,1.0232358,3585,3.085197935,34.14,-118.56
5,18,5.669412976,1.035015448,2641,2.719876416,37.56,-121.99
4.6602,22,5.767123288,0.969863014,993,2.720547945,37.94,-122.05
5.8186,52,4.796839729,0.972911964,1014,2.288939052,37.31,-121.9
2.6951,44,3.908961593,1.017069701,2962,4.213371266,33.97,-118.23
3.5833,45,5.424418605,0.997093023,919,2.671511628,33.86,-118.13
1.6675,6,5.511508951,1.391304348,1039,2.657289003,34.05,-117.3
8.6803,16,6.580821918,0.920547945,1080,2.95890411,33.07,-117.1
1,34,4.878787879,1.454545455,66,2,34.2,-118.42
2.9125,32,8.057416268,1.717703349,454,2.172248804,39.17,-120.15
6.7206,26,6.889980354,1.00589391,1712,3.36345776,37.62,-122.45
6.822,41,4.982352941,1.017647059,344,2.023529412,33.87,-118.43
2.0244,19,3.915743671,1.035205696,11272,4.458860759,36.69,-121.61
3.5039,29,5.921501706,1.102389078,805,2.747440273,36.22,-119.33
4.8516,52,5.350961538,0.925480769,1177,2.829326923,37.75,-122.49
3.1927,21,3.635587189,1.074733096,3288,2.340213523,37.66,-122.44
7.1736,12,6.289002558,0.997442455,1054,2.695652174,33.55,-117.7
2.6319,15,4.877729258,1.056768559,551,2.406113537,39.02,-120.83
3.6028,33,5.060150376,1.06122449,2984,3.205155747,33.93,-118.02
2.8452,24,6.096698113,1.132075472,1442,3.400943396,35.4,-119.42
4,38,4.561403509,0.885964912,557,2.442982456,33.96,-118.13
3.2083,34,5.471264368,1.063218391,1627,3.116858238,32.78,-115.56
3.1914,19,4.426656151,1.041798107,3018,2.380126183,36.98,-121.99
2.5284,44,3.896039604,0.965346535,1323,3.274752475,34.05,-118.33
8.2266,28,9.163865546,1.193277311,728,3.058823529,37.36,-122.08
4.89,9,7.261061947,1.455752212,1720,1.902654867,33.46,-117.74
2.1198,21,5.404109589,0.965753425,406,2.780821918,40.17,-120.37
2.7155,36,4.196774194,1.029032258,2780,4.483870968,34.28,-118.45
3.7422,42,5.019077901,1.074721781,1603,2.548489666,37.57,-122.31
6.759,4,7.361419069,0.99556541,3121,3.460088692,35.33,-119.1
8.3818,13,7.533066132,0.97995992,1496,2.997995992,33.83,-117.83
5.2145,28,6.807407407,1.011111111,899,3.32962963,37.96,-121.96
2.5473,16,4.225505443,0.965785381,3343,5.199066874,38.02,-121.3
2.5966,14,3.950892857,0.995535714,533,2.379464286,34.65,-120.46
4.875,5,7.10172144,1.176056338,7694,6.020344288,34.69,-118.2
8.3637,22,8.938028169,1.047887324,1181,3.326760563,33.82,-117.82
1.7756,21,4.904761905,1.037698413,1238,2.456349206,36.07,-119.05
2.59,45,5.471111111,1.131111111,1587,3.526666667,37.74,-122.4
6.0689,19,6.731818182,0.920454545,1295,2.943181818,33.61,-117.68
1.2434,52,2.929411765,0.917647059,396,4.658823529,37.8,-122.27
6.2141,4,6.716019417,1.078478964,3941,3.188511327,33.92,-117.7
3.6944,29,4.048744461,0.985228951,2449,3.617429838,34.08,-118.02
3.0536,35,5.318435754,0.994413408,480,2.681564246,40.62,-124.18
3.6625,22,5.747474747,0.996632997,822,2.767676768,39.75,-121.87
3.9167,52,5.634743875,1.020044543,1122,2.498886414,34.05,-118.34
5.5385,36,5.048780488,0.956097561,475,2.317073171,37.39,-122.09
6.6134,4,6.560728745,0.939271255,1552,3.141700405,37.93,-121.97
3.7321,20,3.916091954,1.017241379,1883,2.164367816,34.16,-118.26
3.1201,17,6.478206725,1.291407223,1742,2.169364882,38.8,-123.59
2.6333,41,3.724226804,1.056701031,1052,2.711340206,34.29,-119.3
4.0425,31,4.713833157,1.046462513,2420,2.555438226,33.8,-118.31
4.3438,48,5.003846154,0.973076923,637,2.45,34.16,-118.27
3.7188,37,6.237226277,1.01459854,744,2.715328467,34.16,-117.25
2.4028,17,31.77777778,9.703703704,47,1.740740741,40.06,-121.54
7.1463,31,6.534632035,1.015151515,1349,2.91991342,34.24,-118.24
1.9798,49,4.822368421,1.098684211,1361,2.238486842,37.86,-122.28
2.8269,34,4.285266458,1.031347962,796,2.495297806,35.5,-119.27
3.3827,30,5.655122655,1.072150072,1693,2.443001443,38.3,-122.69
4.6293,35,4.580555556,0.986111111,746,2.072222222,32.78,-117.23
4.725,23,6.442260442,1.093366093,1103,2.71007371,33.7,-117.96
3.5272,36,5.09556314,1.078498294,989,3.375426621,34.03,-118.11
3.2024,15,5.952286282,1.03777336,1231,2.447316103,33.15,-117.07
0.7403,37,4.491428571,1.148571429,1046,2.988571429,37.96,-122.37
6.837,20,6.503225806,1.009677419,767,2.474193548,37.35,-122.04
3.5125,20,3.674094708,1.189415042,1352,1.883008357,37.59,-122.36
3.9375,46,4.611607143,1.004464286,1275,2.845982143,33.87,-117.94
1.7463,19,7.612149533,1.803738318,551,2.574766355,39.3,-122.51
3.1275,29,4.501564129,1.081334724,2102,2.191866528,33.8,-118.32
11.5199,3,7.682926829,0.93495935,337,2.739837398,33.69,-118.01
4.0495,12,5.2147806,1.053117783,1147,2.648960739,33.14,-117.13
4.2685,32,5.55794702,1.028145695,1696,2.80794702,34.1,-117.88
4.4472,18,5.445179584,1.004725898,2763,2.611531191,34.04,-117.25
3.4222,33,5.073322933,0.982839314,2010,3.135725429,36.7,-121.66
2.1094,29,4,1.062305296,1191,1.855140187,32.76,-117.13
5.2662,16,5.869337979,0.926829268,1770,3.083623693,37.31,-120.44
3.2917,52,5.56424581,0.963687151,948,2.648044693,33.96,-117.39
4.3875,52,6.275,0.970833333,478,1.991666667,32.77,-117.11
2.2,28,3.719360568,1.039076377,1556,2.763765542,33.11,-117.08
2.9732,52,5.585284281,1.170568562,793,2.652173913,37.77,-122.26
3.1875,23,5.275092937,0.970260223,706,2.624535316,38.79,-121.24
4.0417,23,10.63945578,2.027210884,339,2.306122449,38.94,-119.98
6.6246,9,6.611457036,1.006849315,4830,3.00747198,34.23,-118.99
3.4531,44,5.778801843,1.161290323,498,2.294930876,37.98,-122.03
3.292,28,4.444891981,1.051995606,5359,1.962284877,34.13,-118.06
2.7188,14,7.972746331,1.444444444,1129,2.36687631,38.05,-120.22
3.4612,29,5.010928962,0.989071038,379,2.071038251,34.15,-118.39
5.791,36,5.004048583,0.927125506,880,3.562753036,37.39,-122
2.7457,37,5.632727273,1.094545455,863,3.138181818,38.16,-122.41
5.0772,17,5.243967828,0.987935657,2693,3.609919571,37.27,-121.8
2.151,33,4.861244019,0.985645933,617,2.95215311,37.59,-120.89
4.1523,34,4.641509434,1.094339623,926,2.495956873,34.22,-118.24
2.3762,20,4.214363439,1.107181719,5370,2.921653972,33.13,-117.05
2.0025,32,4.53596615,1.057827927,2639,3.722143865,35.67,-119.24
2.375,35,4.440329218,1.016460905,1055,4.341563786,33.9,-118.24
3.1563,18,6.235294118,1.193277311,343,2.882352941,38.68,-122.27
2.4053,21,4.945132743,1.171681416,2236,3.957522124,36.93,-121.78
2.7139,30,4.099870298,1.054474708,1865,2.418936446,33.73,-118.29
4.1719,36,5.353488372,1.004651163,727,3.381395349,37.61,-122.04
8.0838,36,7.084935897,1.125,1433,2.296474359,33.8,-118.38
3.8125,43,6.152173913,1.059782609,931,2.529891304,37.73,-122.14
6.6779,5,7.507177033,0.95215311,713,3.411483254,38.3,-122.03
6.1504,19,5.710451977,1.079096045,2196,3.101694915,37.4,-121.86
5.31,15,7.168085106,1.061702128,1733,3.687234043,38.57,-121.32
7.9819,26,7.571428571,0.956043956,2381,2.907203907,37.28,-121.92
1.7188,26,4.936464088,1.005524862,1548,4.276243094,36.98,-120.65
9.0683,15,7.226235741,1.030418251,1992,3.787072243,33.89,-117.97
3.2115,20,5.263529412,1.091764706,1169,2.750588235,38.27,-122.02
2.8089,30,4.4,1.079338843,1997,3.300826446,32.68,-117.09
1.4015,35,4.098591549,0.975352113,992,3.492957746,35.35,-119
4.8359,35,5.473015873,0.987301587,992,3.149206349,34.26,-118.45
2.0625,15,4.53877551,1.044897959,411,1.67755102,34.4,-119.51
3.7841,26,6.193146417,1.180685358,905,2.819314642,39.33,-120.2
4.4271,44,5.51417004,0.95951417,709,2.870445344,33.88,-118.36
4.275,35,5.337175793,1.031700288,1414,4.074927954,34.08,-118.01
3.6071,43,5.342741935,1.024193548,613,2.471774194,34.2,-118.33
2.1447,43,4.452631579,1.042105263,946,3.319298246,32.79,-117.17
2.5644,31,5.234527687,1.094462541,817,2.661237785,35.35,-119.04
3.6298,34,4.28968254,0.813492063,1325,5.257936508,34.06,-117.8
5.9114,46,6.079470199,1.056291391,767,2.539735099,37.72,-122.47
2.4706,28,3.833910035,0.982698962,1498,5.183391003,33.9,-118.23
4.1058,30,6.368,1.048,1117,2.978666667,34.9,-120.43
7.9606,34,6.504545455,1.018181818,503,2.286363636,37.9,-122.55
6.0992,24,6.063636364,1.106060606,1170,3.545454545,34.4,-119.91
3.0445,36,4.042813456,1.03058104,1211,1.851681957,32.76,-117.15
8.4352,14,8.106100796,0.978779841,1209,3.206896552,37.87,-122.02
4.0068,16,3.73605948,1.027261462,1769,2.192069393,37.39,-122.01
5.8143,45,5.174904943,0.958174905,581,2.209125475,33.96,-118.39
5.8623,24,5.972413793,1.018390805,1184,2.72183908,33.71,-118.02
4.3882,24,5.082139446,1.015281757,4011,3.830945559,33.74,-117.92
3.0153,45,3.607744108,1.173400673,1004,1.69023569,33.77,-118.17
4.87,19,5.662109375,0.974609375,1356,2.6484375,33.03,-117.27
3.0721,37,5.579775281,1.031460674,1072,2.408988764,37.67,-121.01
3.1167,20,4.527202073,1.059585492,2186,2.831606218,36.96,-121.98
3.6031,52,3.702592087,1.062755798,1438,1.961800819,37.77,-122.43
2.0658,29,3.575438596,1.014035088,2070,3.631578947,34.04,-118.31
3.934,18,5.268156425,1.189944134,544,3.039106145,37.03,-121.79
1.4091,34,5.785714286,1.857142857,53,3.785714286,34.63,-117.92
3.8625,41,4.658018868,1.037735849,1528,3.603773585,37.72,-122.4
1.8856,17,4.621568627,1.174509804,1423,2.790196078,32.74,-117
2.1518,43,3.728125,0.934375,1184,3.7,34.23,-118.39
6.8869,6,7.382384533,1.030075188,2354,2.528464017,38.51,-121.06
5.826,14,6.235995232,0.965435042,3041,3.624553039,33.61,-117.64
2.4805,11,6.594989562,1.286012526,1343,2.803757829,41.75,-124.23
4,37,6.363945578,1.091836735,806,2.741496599,39.25,-121.71
4.0865,30,5.132743363,0.991150442,1434,3.172566372,33.85,-118.03
6.5146,18,6.712195122,1.097560976,670,3.268292683,34.22,-118.63
1.3062,10,3.016476553,1.068441065,1245,1.577946768,37.78,-122.43
3.8864,42,6.226480836,1.031358885,921,3.209059233,37.61,-121.09
6.0905,26,5.631147541,0.959016393,731,2.995901639,33.68,-117.96
3.83,35,5.593283582,1.078358209,1112,4.149253731,34.03,-117.94
0.7235,19,2.839622642,0.955188679,844,1.990566038,34.1,-117.29
1.5,12,4.176980198,1.169554455,2357,2.917079208,32.71,-117.09
1.4524,42,3.523131673,1.028469751,1167,4.153024911,34.01,-118.27
4.5,34,7.366013072,1.166666667,715,2.336601307,37.93,-122.3
3.9565,48,4.953703704,1.083333333,1773,3.283333333,37.72,-122.44
3.5588,50,5.177458034,1.047961631,1111,2.664268585,37.78,-122.48
5.4349,33,6.294444444,1.013888889,952,2.644444444,32.98,-115.55
1.0918,52,2.253333333,1.202666667,1230,3.28,32.71,-117.16
2.0134,35,3.817280453,1.059490085,2935,4.157223796,33.91,-118.19
3.0147,37,3.958208955,1,1771,5.286567164,37.48,-122.21
3.1832,9,6.288461538,1.083333333,596,3.820512821,33.67,-117.31
2.2863,5,4.106457243,1.061082024,2505,4.371727749,36.6,-119.44
5.0278,14,6.230088496,1.10840708,1448,3.203539823,32.99,-116.89
2.5797,17,3.486624204,1.105732484,2924,3.724840764,34.21,-118.59
3.5473,33,4.10892587,0.998487141,1807,2.733736762,33.83,-118.3
3.2411,35,5.908163265,0.969387755,826,2.80952381,32.82,-116.94
3.038,17,4.542288557,1.134328358,530,2.63681592,34.42,-118.47
2.3783,28,5.023684211,1.047368421,1140,3,37.68,-121.04
2.6149,10,5.599269184,1.228989038,2227,2.712545676,34.86,-118.15
1.9792,47,4.816770186,1.124223602,1329,4.127329193,34,-118.31
3.3281,7,5.010462075,1.139494333,2578,2.247602441,34.15,-117.31
4.1518,13,6.198067633,1.084541063,1181,2.852657005,35.73,-117.87
3.0917,32,4.7960199,0.985074627,623,3.099502488,37.76,-120.86
